arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,arrival_quantity_qtl,clean_date
ARR0004480,08.04.2026,MANDI_045,Wheat,Local,15910.0,kg,102.0,15910.0,2026-08-04
ARR0021197,28-Aug-2026,MANDI_021,Sugarcane,Hybrid,197.48,qtl,,197.48,2026-08-28
ARR0020628,12-Jun-2026,MANDI_012,Sugarcane,PBW-343,35053.0,Kilo,71.0,35053.0,2026-06-12
ARR0001665,30.07.2026,MANDI_055,Rice,Local,406.67,Quintals,,406.67,2026-07-30
ARR0002938,04-Jul-2026,MANDI_016,Wheat,,162.36,qtl,114.0,162.36,2026-07-04
ARR0019350,25/03/2026,MANDI_001,Wheat,Premium,19.073,MT,,19.073,2026-03-25
ARR0020205,2026-07-05,MANDI_037,Maize,Hybrid,7347.0,Kgs,17.0,7347.0,2026-07-05
ARR0015292,2026/07/15,MANDI_037,Wheat,PBW-343,"36,654.0 KG",,53.0,0.36,2026-07-15
ARR0019616,10/04/2026,MANDI_008,Maize,Hybrid,82.61,qtl,,82.61,2026-10-04
ARR0022884,12.05.2026,MANDI_047,Maize,,194.32,Quintals,33.0,194.32,2026-12-05
ARR0003230,2026-04-03,MANDI_051,Mustard,PBW-343,38.055,MT,6.0,38.055,2026-04-03
ARR0003266,24-Apr-2026,MANDI_023,Sugarcane,,97.11,qtl,17.0,97.11,2026-04-24
ARR0023966,2026-03-03,MANDI_017,Mustard,PBW-343,15999.0,Kilo,125.0,15999.0,2026-03-03
ARR0017190,01/08/2026,MANDI_002,Cotton,PBW-343,"22,697.0 KG",,73.0,0.22,2026-01-08
ARR0003048,2026-01-24,MANDI_016,Cotton,Premium,7845.0,KGS,54.0,7845.0,2026-01-24
ARR0013641,18/03/2026,MANDI_018,Mustard,Premium,342.39,Qtl,143.0,342.39,2026-03-18
ARR0019876,2026/07/12,MANDI_054,Rice,,32227.0,Kgs,127.0,32227.0,2026-07-12
ARR0018787,08-08-2026,MANDI_044,Rice,Pusa-1121,336.73 qtl,,69.0,336.73,2026-08-08
ARR0020778,08.03.2026,MANDI_024,Mustard,HD-2967,12790.0,Kilo,113.0,12790.0,2026-08-03
ARR0002765,2026-02-28,MANDI_013,Mustard,Premium,361.74,Q,62.0,361.74,2026-02-28
ARR0014145,2026-01-31,MANDI_006,Sugarcane,Pusa-1121,469.92,qtl,18.0,469.92,2026-01-31
ARR0023854,06/05/2026,MANDI_007,Sugarcane,,-177.05,KG,46.0,177.05,2026-06-05
ARR0012859,2026/03/20,MANDI_057,Cotton,PBW-343,34.129000000000005,T,,34.129000000000005,2026-03-20
ARR0023766,2026-02-02,MANDI_025,Rice,HD-2967,17588.0,Kgs,88.0,17588.0,2026-02-02
ARR0009572,10.05.2026,MANDI_041,Maize,Premium,17.603,T,38.0,17.603,2026-10-05
ARR0021131,2026-04-24,MANDI_040,Maize,Hybrid,309.07 qtl,,146.0,309.07,2026-04-24
ARR0022207,2026-03-25,MANDI_027,Rice,HD-2967,47236.0,Kgs,11.0,47236.0,2026-03-25
ARR0005385,2026/08/07,MANDI_028,Cotton,Hybrid,12.677,tonnes,5.0,12.677,2026-08-07
ARR0020517,2026-06-02,MANDI_026,Wheat,PBW-343,28.492,Tonnes,99.0,28.492,2026-06-02
ARR0015213,27.02.2026,MANDI_005,Rice,PBW-343,54.32,qtl,122.0,54.32,2026-02-27
,2026/02/04,MANDI_031,Maize,Local,431.25 qtl,,60.0,431.25,2026-02-04
ARR0010273,2026-03-06,MANDI_021,Mustard,,200.26,Qtl,11.0,200.26,2026-03-06
ARR0023476,2026/06/05,MANDI_023,Mustard,PBW-343,312.23,Qtl,18.0,312.23,2026-06-05
ARR0013815,06-08-2026,MANDI_009,Maize,HD-2967,27041.000000000004,Kilo,83.0,27041.000000000004,2026-06-08
ARR0023287,2026/02/08,MANDI_003,Cotton,PBW-343,4.441,MT,127.0,4.441,2026-02-08
ARR0016192,2026-07-03,MANDI_023,Maize,,455.6,quintal,59.0,455.6,2026-07-03
ARR0011823,2026/01/13,MANDI_004,Rice,HD-2967,60.33,qtl,124.0,60.33,2026-01-13
ARR0005816,24/01/2026,MANDI_039,Sugarcane,PBW-343,158.3,quintal,135.0,158.3,2026-01-24
ARR0006030,2026-04-22,MANDI_033,Cotton,HD-2967,"43,655.0 KG",,128.0,0.43,2026-04-22
ARR0010009,2026-03-10,MANDI_004,Rice,,29139.999999999996,kg,,29139.999999999996,2026-03-10
ARR0022129,2026/02/10,MANDI_040,Sugarcane,Local,45813.0,KGS,131.0,45813.0,2026-02-10
ARR0015481,09/06/2026,MANDI_028,Maize,Premium,"7,278.0 KG",,68.0,0.07,2026-09-06
ARR0020630,16/08/2026,MANDI_028,Rice,Local,32583.0,kg,36.0,32583.0,2026-08-16
ARR0005888,2026/07/03,MANDI_049,Maize,,182.46,quintal,,182.46,2026-07-03
ARR0006650,06.09.2026,MANDI_043,Rice,Local,18275.0,KG,128.0,18275.0,2026-06-09
ARR0002363,09/03/2026,MANDI_026,Maize,Pusa-1121,23947.0,KGS,29.0,23947.0,2026-09-03
ARR0010446,08-05-2026,MANDI_026,Maize,Pusa-1121,17.899,tonnes,21.0,17.899,2026-08-05
ARR0009069,05-15-2026,MANDI_022,Cotton,Pusa-1121,5918.0,Kilo,76.0,5918.0,2026-05-15
ARR0020854,18-Jun-2026,MANDI_035,Sugarcane,Pusa-1121,158.72,Q,,158.72,2026-06-18
ARR0023442,2026-05-20,MANDI_056,Cotton,,25827.999999999996,KGS,73.0,25827.999999999996,2026-05-20
ARR0011135,20-Jun-2026,MANDI_035,Rice,Premium,37.528,T,138.0,37.528,2026-06-20
ARR0000197,05-20-2026,MANDI_001,Cotton,HD-2967,76.9 qtl,,118.0,76.9,2026-05-20
,08-May-2026,MANDI_002,Maize,HD-2967,28557.0,Kgs,46.0,28557.0,2026-05-08
ARR0001203,04-04-2026,MANDI_045,Cotton,PBW-343,2683.0,KGS,12.0,2683.0,2026-04-04
ARR0009407,2026/04/05,MANDI_051,Mustard,Local,108.06,Quintals,78.0,108.06,2026-04-05
ARR0013714,31-Mar-2026,MANDI_038,Cotton,Premium,37.288,Tonnes,41.0,37.288,2026-03-31
ARR0002798,2026-04-08,MANDI_043,Cotton,Hybrid,354.98,Q,11.0,354.98,2026-04-08
ARR0006770,2026/06/25,MANDI_015,Wheat,Hybrid,141.83,Quintals,134.0,141.83,2026-06-25
ARR0019634,2026-03-25,MANDI_013,Cotton,,18.137,tonnes,45.0,18.137,2026-03-25
ARR0012525,06-25-2026,MANDI_043,Maize,Premium,334.11,Q,119.0,334.11,2026-06-25
ARR0016292,2026/02/05,MANDI_049,Maize,Pusa-1121,41458.0,kg,36.0,41458.0,2026-02-05
ARR0019272,05/03/2026,MANDI_030,Sugarcane,Local,"39,083.0 KG",,104.0,0.39,2026-05-03
ARR0004049,2026-04-13,MANDI_003,Rice,Pusa-1121,21412.0,KG,56.0,21412.0,2026-04-13
ARR0002716,2026/07/17,MANDI_057,Sugarcane,Hybrid,41389.0,Kgs,106.0,41389.0,2026-07-17
ARR0014184,12.02.2026,MANDI_037,Mustard,PBW-343,"35,649.0 KG",,,0.35,2026-12-02
ARR0008333,2026/01/15,MANDI_054,Wheat,,-357.18,KG,133.0,357.18,2026-01-15
ARR0000429,08-25-2026,MANDI_039,Cotton,Hybrid,12.656,MT,76.0,12.656,2026-08-25
ARR0024925,04-Aug-2026,MANDI_024,Wheat,,18344.0,KG,83.0,18344.0,2026-08-04
ARR0019727,30-Apr-2026,MANDI_034,Cotton,PBW-343,40381.0,KGS,81.0,40381.0,2026-04-30
ARR0002477,03-28-2026,MANDI_020,Rice,Local,31.139,tonnes,150.0,31.139,2026-03-28
ARR0000342,17.06.2026,MANDI_033,Cotton,Premium,191.48,Q,30.0,191.48,2026-06-17
ARR0023820,07-25-2026,MANDI_029,Mustard,Local,27200.0,KGS,,27200.0,2026-07-25
ARR0010204,21.07.2026,MANDI_006,Rice,,2584.0,Kgs,102.0,2584.0,2026-07-21
ARR0000398,25/03/2026,MANDI_029,Maize,PBW-343,20.63 qtl,,44.0,20.63,2026-03-25
ARR0020708,2026/06/01,MANDI_054,Cotton,Hybrid,41.019999999999996,MT,60.0,41.019999999999996,2026-06-01
ARR0020105,02-19-2026,MANDI_028,Mustard,Pusa-1121,48.563,Tonnes,60.0,48.563,2026-02-19
ARR0019842,30/03/2026,MANDI_056,Sugarcane,Pusa-1121,2948.0,Kgs,112.0,2948.0,2026-03-30
ARR0014214,21/02/2026,MANDI_031,Sugarcane,Hybrid,478.99 qtl,,123.0,478.99,2026-02-21
ARR0017781,24-May-2026,MANDI_031,Sugarcane,PBW-343,46065.0,kg,46.0,46065.0,2026-05-24
ARR0009910,28.04.2026,MANDI_041,Cotton,Pusa-1121,372.43,Q,42.0,372.43,2026-04-28
ARR0008506,03.02.2026,MANDI_024,Rice,Hybrid,74.11,Qtl,96.0,74.11,2026-03-02
ARR0023886,2026-07-12,MANDI_011,Maize,Local,15663.999999999998,KG,14.0,15663.999999999998,2026-07-12
ARR0006149,27/04/2026,MANDI_041,Cotton,Pusa-1121,4638.0,kg,103.0,4638.0,2026-04-27
ARR0023964,20-Jul-2026,MANDI_008,Rice,,81.67,qtl,,81.67,2026-07-20
ARR0003143,08-24-2026,MANDI_034,Rice,HD-2967,401.5 qtl,,113.0,401.5,2026-08-24
ARR0002588,06-05-2026,MANDI_040,Mustard,,4.489,MT,137.0,4.489,2026-06-05
ARR0002948,18.02.2026,MANDI_019,Wheat,,"12,646.0 KG",,146.0,0.12,2026-02-18
ARR0015103,22.02.2026,MANDI_050,Cotton,Pusa-1121,24245.0,Kgs,73.0,24245.0,2026-02-22
ARR0011288,04/01/2026,MANDI_043,Cotton,Pusa-1121,27258.999999999996,kg,43.0,27258.999999999996,2026-04-01
ARR0009656,04-01-2026,MANDI_018,Sugarcane,HD-2967,"7,537.0 KG",,,0.07,2026-04-01
ARR0002899,2026-07-23,MANDI_017,Cotton,Hybrid,"41,341.0 KG",,134.0,0.41,2026-07-23
ARR0013711,29.03.2026,MANDI_028,Sugarcane,Hybrid,47.79,Q,15.0,47.79,2026-03-29
ARR0009578,2026-04-12,MANDI_016,Maize,Pusa-1121,309.79,Qtl,20.0,309.79,2026-04-12
ARR0005981,05/04/2026,MANDI_004,Rice,Premium,22842.0,kg,145.0,22842.0,2026-05-04
ARR0023291,11/02/2026,MANDI_020,Wheat,Premium,80.86,Q,89.0,80.86,2026-11-02
ARR0009654,13/03/2026,MANDI_030,Sugarcane,,"24,318.0 KG",,31.0,0.24,2026-03-13
ARR0012458,08-May-2026,MANDI_039,Mustard,Pusa-1121,276.83,Quintals,24.0,276.83,2026-05-08
ARR0014621,2026-05-23,MANDI_056,Sugarcane,Local,"26,952.999999999996 KG",,80.0,0.26,2026-05-23
ARR0016696,31/01/2026,MANDI_039,Maize,Pusa-1121,6202.0,Kilo,132.0,6202.0,2026-01-31
ARR0004195,2026-07-17,MANDI_035,Mustard,PBW-343,16784.0,Kilo,129.0,16784.0,2026-07-17
ARR0014009,04/08/2026,MANDI_007,Maize,,418.67,quintal,85.0,418.67,2026-04-08
ARR0002509,31/05/2026,MANDI_013,Maize,HD-2967,2.2,tonnes,141.0,2.2,2026-05-31
ARR0017972,26.02.2026,MANDI_034,Rice,Local,29339.999999999996,kg,6.0,29339.999999999996,2026-02-26
ARR0002169,2026/01/09,MANDI_039,Rice,Hybrid,-54.89,KG,41.0,54.89,2026-01-09
,08-19-2026,MANDI_044,Wheat,Hybrid,16.017,T,138.0,16.017,2026-08-19
ARR0003269,2026/04/03,MANDI_046,Rice,PBW-343,41.098,tonnes,43.0,41.098,2026-04-03
ARR0009004,27-Mar-2026,MANDI_023,Wheat,,-455.48,KG,120.0,455.48,2026-03-27
ARR0018741,20/02/2026,MANDI_056,Sugarcane,Premium,256.67,Qtl,31.0,256.67,2026-02-20
ARR0014531,03-Feb-2026,MANDI_036,Cotton,,-453.42,KG,38.0,453.42,2026-02-03
ARR0003705,2026-04-10,MANDI_002,Mustard,Hybrid,24.500999999999998,T,,24.500999999999998,2026-04-10
ARR0010827,29/05/2026,MANDI_016,Rice,Premium,156.22,Qtl,95.0,156.22,2026-05-29
ARR0018637,04.04.2026,MANDI_046,Rice,Hybrid,-77.12,Qtl,67.0,77.12,2026-04-04
ARR0007570,29-Jul-2026,MANDI_019,Mustard,Premium,32635.000000000004,kg,105.0,32635.000000000004,2026-07-29
ARR0011179,30/03/2026,MANDI_040,Mustard,,32.755,Tonnes,26.0,32.755,2026-03-30
ARR0009296,2026/05/10,MANDI_001,Maize,,2.35,MT,,2.35,2026-05-10
ARR0019940,21.08.2026,MANDI_022,Sugarcane,HD-2967,1.6329999999999998,Tonnes,68.0,1.6329999999999998,2026-08-21
ARR0004811,26.05.2026,MANDI_020,Rice,Hybrid,8974.0,Kilo,77.0,8974.0,2026-05-26
ARR0020960,2026/03/03,MANDI_047,Mustard,Premium,32314.999999999996,Kilo,,32314.999999999996,2026-03-03
ARR0002791,2026/02/06,MANDI_055,Mustard,PBW-343,21128.0,Kgs,47.0,21128.0,2026-02-06
ARR0012957,02-10-2026,MANDI_019,Rice,Local,27.808,Tonnes,36.0,27.808,2026-02-10
ARR0022933,08.04.2026,MANDI_037,Cotton,Premium,28.54 qtl,,9.0,28.54,2026-08-04
ARR0014544,2026/07/31,MANDI_022,Maize,Pusa-1121,11.488,MT,116.0,11.488,2026-07-31
ARR0013198,25/04/2026,MANDI_010,Wheat,Pusa-1121,59.22,Qtl,43.0,59.22,2026-04-25
ARR0007340,03-23-2026,MANDI_012,Wheat,Premium,21570.0,Kgs,80.0,21570.0,2026-03-23
ARR0020658,08-01-2026,MANDI_021,Rice,Hybrid,40.966,MT,96.0,40.966,2026-08-01
ARR0001088,2026/05/07,MANDI_017,Mustard,Pusa-1121,495.58,qtl,94.0,495.58,2026-05-07
ARR0024650,18/08/2026,MANDI_049,Mustard,Hybrid,-11.34,KG,61.0,11.34,2026-08-18
ARR0008152,2026-06-08,MANDI_008,Cotton,,188.7 qtl,,147.0,188.7,2026-06-08
ARR0021890,06-02-2026,MANDI_009,Sugarcane,,493.91,quintal,84.0,493.91,2026-06-02
ARR0007925,07-19-2026,MANDI_037,Mustard,Local,66.2 qtl,,32.0,66.2,2026-07-19
ARR0017611,12-Apr-2026,MANDI_024,Maize,Hybrid,165.63,Quintals,77.0,165.63,2026-04-12
ARR0016207,07.07.2026,MANDI_032,Maize,Pusa-1121,"31,000.0 KG",,34.0,0.31,2026-07-07
ARR0024181,07/05/2026,MANDI_015,Sugarcane,Local,110.39,Qtl,20.0,110.39,2026-07-05
ARR0004419,03-21-2026,MANDI_006,Sugarcane,Hybrid,64.7,qtl,105.0,64.7,2026-03-21
ARR0006199,11/02/2026,MANDI_053,Sugarcane,Local,153.27,qtl,79.0,153.27,2026-11-02
ARR0014957,2026/01/09,MANDI_019,Mustard,Hybrid,40396.0,KG,79.0,40396.0,2026-01-09
ARR0023574,26.02.2026,MANDI_023,Mustard,Premium,431.18,quintal,129.0,431.18,2026-02-26
ARR0017021,14.03.2026,MANDI_020,Rice,Pusa-1121,2536.0,Kgs,72.0,2536.0,2026-03-14
ARR0001428,2026-07-10,MANDI_024,Maize,Hybrid,-77.75,Qtl,106.0,77.75,2026-07-10
ARR0002493,14-Apr-2026,MANDI_006,Rice,Local,-115.25,KG,63.0,115.25,2026-04-14
ARR0013505,06/06/2026,MANDI_052,Mustard,,96.35,quintal,,96.35,2026-06-06
ARR0002010,2026-03-21,MANDI_033,Wheat,Local,-432.01,KG,12.0,432.01,2026-03-21
ARR0002534,02-Jul-2026,MANDI_007,Mustard,Pusa-1121,4.398,tonnes,21.0,4.398,2026-07-02
ARR0009802,2026-09-07,MANDI_026,Cotton,HD-2967,486.01,Quintals,12.0,486.01,2026-09-07
ARR0015940,13.03.2026,MANDI_028,Maize,,298.47,quintal,18.0,298.47,2026-03-13
ARR0005817,20-Mar-2026,MANDI_013,Maize,,287.47 qtl,,12.0,287.47,2026-03-20
ARR0023731,2026/03/15,MANDI_008,Sugarcane,HD-2967,38.977999999999994,tonnes,,38.977999999999994,2026-03-15
ARR0018857,01-25-2026,MANDI_042,Sugarcane,Hybrid,151.28,Quintals,113.0,151.28,2026-01-25
ARR0010088,2026-01-09,MANDI_049,Mustard,PBW-343,-136.17,Qtl,,136.17,2026-01-09
ARR0020189,24/05/2026,MANDI_057,Maize,,241.75,Quintals,68.0,241.75,2026-05-24
ARR0022768,28-Jun-2026,MANDI_024,Mustard,Premium,44371.0,Kilo,42.0,44371.0,2026-06-28
ARR0018919,17/03/2026,MANDI_024,Mustard,,7806.999999999999,Kgs,132.0,7806.999999999999,2026-03-17
ARR0006562,04-19-2026,MANDI_014,Wheat,PBW-343,"25,811.0 KG",,25.0,0.25,2026-04-19
ARR0004149,04/06/2026,MANDI_003,Rice,Premium,318.3,Q,48.0,318.3,2026-04-06
ARR0024592,28.08.2026,MANDI_037,Rice,PBW-343,62.98 qtl,,55.0,62.98,2026-08-28
ARR0011429,2026/08/04,MANDI_042,Wheat,Local,19312.0,KGS,101.0,19312.0,2026-08-04
ARR0018153,2026/02/05,MANDI_027,Cotton,Local,45102.0,KGS,141.0,45102.0,2026-02-05
ARR0006286,2026/03/03,MANDI_050,Maize,PBW-343,"30,038.0 KG",,7.0,0.3,2026-03-03
ARR0000231,06-07-2026,MANDI_049,Sugarcane,Hybrid,185.56 qtl,,82.0,185.56,2026-06-07
ARR0018527,2026-08-01,MANDI_010,Wheat,Local,42538.0,kg,144.0,42538.0,2026-08-01
ARR0008215,22.05.2026,MANDI_003,Sugarcane,Local,"7,380.0 KG",,73.0,0.07,2026-05-22
ARR0010793,2026-08-23,MANDI_022,Rice,Hybrid,42.579,T,132.0,42.579,2026-08-23
ARR0006601,22.06.2026,MANDI_015,Mustard,HD-2967,-147.26,KG,5.0,147.26,2026-06-22
ARR0023800,09-Sep-2026,MANDI_012,Sugarcane,PBW-343,"1,900.0 KG",,123.0,0.01,2026-09-09
ARR0021788,2026-06-07,MANDI_016,Sugarcane,Hybrid,15.366999999999999,T,143.0,15.366999999999999,2026-06-07
ARR0019846,2026-06-21,MANDI_024,Maize,Pusa-1121,25970.999999999996,Kgs,40.0,25970.999999999996,2026-06-21
ARR0015205,25.01.2026,MANDI_011,Rice,HD-2967,355.64,Quintals,56.0,355.64,2026-01-25
ARR0008780,2026-01-30,MANDI_038,Rice,PBW-343,"38,516.0 KG",,130.0,0.38,2026-01-30
ARR0006070,06/06/2026,MANDI_034,Wheat,,31.294,Tonnes,65.0,31.294,2026-06-06
ARR0002035,06.06.2026,MANDI_049,Maize,,15.395,tonnes,97.0,15.395,2026-06-06
ARR0002214,01-24-2026,MANDI_044,Maize,Pusa-1121,2592.0,Kilo,112.0,2592.0,2026-01-24
ARR0017078,29.06.2026,MANDI_007,Mustard,Pusa-1121,"31,873.0 KG",,31.0,0.31,2026-06-29
ARR0004860,30-Mar-2026,MANDI_013,Mustard,Hybrid,9.693000000000001,MT,143.0,9.693000000000001,2026-03-30
ARR0024883,18.07.2026,MANDI_028,Maize,Hybrid,29.87 qtl,,131.0,29.87,2026-07-18
ARR0012995,2026-06-04,MANDI_057,Mustard,,38554.0,Kilo,26.0,38554.0,2026-06-04
ARR0002230,2026-05-31,MANDI_033,Wheat,Pusa-1121,36.46,tonnes,127.0,36.46,2026-05-31
ARR0002276,30.08.2026,MANDI_057,Sugarcane,,-143.27,KG,113.0,143.27,2026-08-30
,2026/09/06,MANDI_046,Cotton,Local,360.53 qtl,,135.0,360.53,2026-09-06
ARR0005679,03/03/2026,MANDI_015,Cotton,Hybrid,140.36,Q,51.0,140.36,2026-03-03
ARR0018820,10/05/2026,MANDI_032,Mustard,Premium,181.14 qtl,,116.0,181.14,2026-10-05
ARR0002749,24/01/2026,MANDI_031,Rice,,118.37 qtl,,,118.37,2026-01-24
ARR0010291,21-Jun-2026,MANDI_036,Cotton,PBW-343,456.27 qtl,,118.0,456.27,2026-06-21
ARR0004786,2026/08/01,MANDI_015,Sugarcane,,18558.0,kg,51.0,18558.0,2026-08-01
ARR0004085,19.05.2026,MANDI_056,Maize,PBW-343,106.05,Qtl,38.0,106.05,2026-05-19
ARR0001476,2026-05-19,MANDI_048,Sugarcane,Local,323.65,qtl,68.0,323.65,2026-05-19
ARR0014866,15-Apr-2026,MANDI_032,Sugarcane,PBW-343,402.65,Quintals,53.0,402.65,2026-04-15
ARR0005733,2026-09-08,MANDI_048,Sugarcane,Hybrid,118.61 qtl,,42.0,118.61,2026-09-08
ARR0014885,26-Jul-2026,MANDI_035,Rice,Premium,441.08,Quintals,14.0,441.08,2026-07-26
ARR0009501,2026-05-18,MANDI_045,Maize,PBW-343,"45,235.0 KG",,62.0,0.45,2026-05-18
ARR0017324,30/01/2026,MANDI_029,Mustard,Premium,31141.000000000004,KG,140.0,31141.000000000004,2026-01-30
ARR0018785,08.09.2026,MANDI_009,Wheat,Premium,16.848,T,81.0,16.848,2026-08-09
ARR0014174,2026-04-23,MANDI_031,Sugarcane,,24635.0,Kgs,83.0,24635.0,2026-04-23
ARR0012348,16/05/2026,MANDI_057,Maize,Pusa-1121,2.8,Tonnes,,2.8,2026-05-16
ARR0002860,25.08.2026,MANDI_038,Rice,,16244.0,KG,90.0,16244.0,2026-08-25
,04-06-2026,MANDI_008,Wheat,Pusa-1121,24.543,T,116.0,24.543,2026-04-06
ARR0012382,2026-06-29,MANDI_011,Mustard,Hybrid,3.6390000000000002,Tonnes,,3.6390000000000002,2026-06-29
ARR0011204,10/03/2026,MANDI_045,Maize,PBW-343,31170.0,kg,,31170.0,2026-10-03
ARR0005655,01-09-2026,MANDI_025,Rice,Premium,46.13,tonnes,124.0,46.13,2026-01-09
ARR0023591,2026-05-18,MANDI_039,Cotton,HD-2967,160.01,Qtl,50.0,160.01,2026-05-18
ARR0022554,11.03.2026,MANDI_055,Rice,Hybrid,33341.0,KG,24.0,33341.0,2026-11-03
ARR0024390,08.05.2026,MANDI_042,Rice,,39363.0,kg,7.0,39363.0,2026-08-05
ARR0008952,25/04/2026,MANDI_002,Sugarcane,Pusa-1121,394.35,Qtl,89.0,394.35,2026-04-25
ARR0013573,2026/06/08,MANDI_015,Sugarcane,Hybrid,408.09 qtl,,6.0,408.09,2026-06-08
ARR0023352,2026-06-06,MANDI_044,Wheat,,25.205000000000002,T,6.0,25.205000000000002,2026-06-06
ARR0004259,07-10-2026,MANDI_012,Cotton,,38822.0,kg,22.0,38822.0,2026-07-10
ARR0024540,14/06/2026,MANDI_035,Sugarcane,HD-2967,38.59,Quintals,,38.59,2026-06-14
ARR0012558,2026-08-21,MANDI_034,Cotton,Premium,"33,176.0 KG",,7.0,0.33,2026-08-21
ARR0013252,2026/07/30,MANDI_003,Cotton,HD-2967,-217.71,KG,93.0,217.71,2026-07-30
ARR0012739,2026-07-30,MANDI_045,Rice,,-388.99,Qtl,,388.99,2026-07-30
ARR0024633,03-13-2026,MANDI_011,Rice,PBW-343,18.99 qtl,,23.0,18.99,2026-03-13
ARR0016432,02-19-2026,MANDI_027,Cotton,Premium,480.16,quintal,128.0,480.16,2026-02-19
ARR0001973,01-08-2026,MANDI_040,Mustard,PBW-343,43559.0,Kgs,115.0,43559.0,2026-01-08
ARR0019423,2026-01-31,MANDI_039,Mustard,Premium,29.219,Tonnes,148.0,29.219,2026-01-31
ARR0018095,03-Jun-2026,MANDI_017,Rice,HD-2967,"45,987.0 KG",,104.0,0.45,2026-06-03
ARR0002502,2026/06/23,MANDI_041,Rice,Premium,12.386,T,63.0,12.386,2026-06-23
ARR0020339,31/03/2026,MANDI_028,Mustard,PBW-343,1084.0,Kilo,127.0,1084.0,2026-03-31
ARR0007666,31/07/2026,MANDI_053,Wheat,,258.79,qtl,69.0,258.79,2026-07-31
ARR0000753,2026-07-11,MANDI_008,Wheat,Pusa-1121,48146.0,Kilo,36.0,48146.0,2026-07-11
ARR0009620,07-19-2026,MANDI_017,Maize,PBW-343,41.35,qtl,33.0,41.35,2026-07-19
ARR0004038,14/07/2026,MANDI_040,Rice,PBW-343,355.78,Quintals,69.0,355.78,2026-07-14
ARR0003704,2026/01/01,MANDI_010,Cotton,Premium,-34.57,KG,7.0,34.57,2026-01-01
ARR0008822,20/06/2026,MANDI_043,Mustard,Hybrid,341.77 qtl,,31.0,341.77,2026-06-20
ARR0005546,05-Sep-2026,MANDI_014,Wheat,PBW-343,"29,336.0 KG",,137.0,0.29,2026-09-05
ARR0014760,20-Jan-2026,MANDI_047,Maize,Pusa-1121,40.72,MT,,40.72,2026-01-20
