record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,clean_date
PR005676,01-Jul-2026,MANDI_007,Fatehabad,Maize,1976.82,0.2419,2197.94,,2026-07-01
PR007093,2026-01-31,MANDI_051,,Rice,2285.36,2595.15,,2183.0,2026-01-31
PR008805,2026-03-11,MANDI_046,Ludhiana,Mustard,4820.0,0.5699,,5650.0,2026-03-11
PR005981,2026-07-23,MANDI_013,Kurukshetra,Wheat,2341.23,0.2517,2429.19,2275.0,2026-07-23
PR000060,14/05/2026,,Ferozepur,Mustard,,6329.19,6070.26,5650.0,2026-05-14
PR001371,04/06/2026,MANDI_030,Ferozepur,Cotton,0.566,6087.83,0.5874,6620.0,2026-04-06
PR003239,03.01.2026,,Karnal,Rice,1872.0,2174.23,2023.3017368627486,2183.0,2026-03-01
PR002056,22.08.2026,MANDI_009,Ferozepur,Rice,1908.1409099896425,2009.0,0.1958,,2026-08-22
PR005252,05.01.2026,MANDI_032,Jalandhar,Wheat,2151.86,2675.13,2413.49,,2026-05-01
PR009259,01-Jun-2026,MANDI_055,,Sugarcane,3152.0,0.3337,3244.6003698960367,0.35,2026-06-01
PR002760,02-15-2026,MANDI_036,Karnal,Cotton,6302.29,7206.81,6754.55,,2026-02-15
PR004003,25/08/2026,MANDI_029,Kurukshetra,Sugarcane,,0.3315,0.3199,0.35,2026-08-25
PR008764,2026-05-31,MANDI_039,Fatehabad,Cotton,,6815.97,,,2026-05-31
PR004575,28-Aug-2026,MANDI_040,Ferozepur,Rice,2184.65,2619.32,2401.982891153114,2183.0,2026-08-28
PR001751,19.07.2026,MANDI_047,Ludhiana,Mustard,,,6334.03,,2026-07-19
PR001077,07-22-2026,,Kurukshetra,Mustard,5178.312104348875,,5757.03,5650.0,2026-07-22
PR005404,22/01/2026,MANDI_034,Sirsa,Maize,1786.3365949009074,,1856.24,2090.0,2026-01-22
PR006339,25.04.2026,MANDI_051,Karnal,Cotton,6696.62,7530.0,7113.15,6620.0,2026-04-25
PR009691,2026/05/11,MANDI_010,Fatehabad,Sugarcane,3201.15,3361.389536195206,3281.27,3500.0,2026-05-11
PR010145,2026-02-02,MANDI_013,Kurukshetra,Wheat,2069.22,2309.0,2188.9685772991033,2275.0,2026-02-02
PR001300,2026-08-02,MANDI_046,Patiala,Maize,1918.0,2158.02,2038.25,2090.0,2026-08-02
PR007631,2026/03/02,MANDI_055,Bathinda,Wheat,2386.55,,,2275.0,2026-03-02
PR000891,17/07/2026,MANDI_050,Amritsar,Sugarcane,3360.97,3721.24,3541.11,0.35,2026-07-17
PR000564,05.01.2026,MANDI_039,Hisar,Sugarcane,3448.28,4181.0,,3500.0,2026-05-01
PR000602,2026-05-29,MANDI_009,Ambala,Rice,1924.0,2048.1,1986.0,0.2183,2026-05-29
PR010104,2026-06-29,MANDI_040,Karnal,Wheat,2287.5,2466.13,,2275.0,2026-06-29
PR000234,03-06-2026,MANDI_046,Sirsa,Sugarcane,3421.0,0.3726,3573.51,3500.0,2026-03-06
PR005480,20/07/2026,MANDI_050,Moga,Mustard,,6362.979993983251,5977.53,5650.0,2026-07-20
PR010827,2026-06-25,MANDI_005,Fatehabad,Sugarcane,3119.64,3645.1,3382.37,3500.0,2026-06-25
PR000661,26/07/2026,MANDI_029,Fatehabad,Rice,,2666.93,2401.0,,2026-07-26
PR002565,07-May-2026,MANDI_043,Ludhiana,Maize,,2198.0,2022.0,2090.0,2026-05-07
PR004659,01-23-2026,MANDI_010,Sirsa,Maize,1944.04,2211.0,2077.0,2090.0,2026-01-23
PR008402,16/06/2026,MANDI_027,Fatehabad,Maize,1845.0,2143.52,1994.33,,2026-06-16
PR007197,04-May-2026,MANDI_033,Ambala,Sugarcane,3653.020121077713,4059.89,0.3856,3500.0,2026-05-04
PR000500,04-02-2026,MANDI_035,Moga,Rice,2181.045527366979,2399.84,2290.0,0.2183,2026-04-02
PR002708,17.08.2026,MANDI_053,Sirsa,Cotton,6858.04,7844.4388757834595,7351.24,0.662,2026-08-17
PR008975,05/04/2026,MANDI_046,Karnal,Wheat,2350.0,2685.0,2517.0,2275.0,2026-05-04
PR007085,11/03/2026,MANDI_039,Ambala,Mustard,5727.0,0.6192,5959.0,5650.0,2026-11-03
PR003234,08-31-2026,MANDI_010,Hisar,Mustard,0.5344,6188.0,0.5766,5650.0,2026-08-31
PR010364,29-Jun-2026,MANDI_014,Fatehabad,Rice,1936.0,2035.72,,2183.0,2026-06-29
PR003552,18.05.2026,,Karnal,Maize,1791.21,1980.88,1886.04,,2026-05-18
PR003156,28/07/2026,MANDI_052,Bathinda,Maize,2067.21,0.2382,2224.78,,2026-07-28
PR001607,18.06.2026,,Patiala,Mustard,5565.0,6412.727054232409,0.5989,,2026-06-18
PR002564,2026-04-06,MANDI_010,Ambala,Maize,2121.78,0.2587,2354.0,2090.0,2026-04-06
PR001680,09/02/2026,MANDI_038,Bathinda,Rice,,0.2387,2225.08,2183.0,2026-09-02
PR004686,2026-04-30,MANDI_051,,Mustard,5523.1,,0.5898,,2026-04-30
PR010671,12/08/2026,MANDI_036,Sirsa,Sugarcane,3521.0,,3675.0,3500.0,2026-12-08
PR003180,03/02/2026,MANDI_057,Patiala,Rice,2102.2,2284.3,2193.25,,2026-03-02
PR007921,13.06.2026,MANDI_057,Patiala,Wheat,2274.0,2519.92,2397.03,,2026-06-13
PR009782,30/03/2026,MANDI_045,,Mustard,4983.72,6078.7,,,2026-03-30
PR007375,26.05.2026,MANDI_007,Sirsa,Cotton,6948.75,0.7354,7151.48,6620.0,2026-05-26
PR003698,28-Feb-2026,MANDI_003,Jalandhar,Maize,,2455.0,2321.22,2090.0,2026-02-28
PR011382,20-May-2026,MANDI_047,Karnal,Maize,0.1923,2057.96,1990.53,2090.0,2026-05-20
PR000927,08-16-2026,MANDI_042,Bathinda,Wheat,1971.5,2367.71,0.217,,2026-08-16
PR011519,2026-03-27,MANDI_030,Jalandhar,Mustard,5653.22,6810.92,6232.0,5650.0,2026-03-27
PR009637,10/03/2026,MANDI_056,Hisar,Mustard,,,0.5462,5650.0,2026-10-03
PR001637,23/04/2026,MANDI_048,Ludhiana,Rice,2010.1534847915866,,2110.0,,2026-04-23
PR004876,12-Aug-2026,,Fatehabad,Cotton,6345.534975638505,7199.0,6772.33,,2026-08-12
PR001068,2026/02/27,MANDI_043,Moga,Rice,2093.86,2212.47,,2183.0,2026-02-27
PR006220,31/05/2026,MANDI_021,Bathinda,Maize,1888.0,2027.39,1957.5956597046059,2090.0,2026-05-31
PR008164,16.04.2026,,Hisar,Rice,2145.539983472816,,2246.3,2183.0,2026-04-16
PR004486,06/05/2026,,Hisar,Maize,1887.5,2254.54,2071.0,2090.0,2026-06-05
PR001657,2026-05-26,,Jalandhar,Sugarcane,3058.0,3448.7883456534482,3253.0,3500.0,2026-05-26
PR000636,30/07/2026,MANDI_001,Jalandhar,Mustard,0.583,6522.04,,0.565,2026-07-30
PR008714,01-19-2026,MANDI_044,Bathinda,Sugarcane,3275.4225337385774,3868.2,3572.0,3500.0,2026-01-19
PR006554,12/05/2026,MANDI_019,Ferozepur,Wheat,2043.0,0.2169,2106.18,,2026-12-05
PR007451,05/06/2026,MANDI_049,Hisar,Rice,2133.49,2430.74,2282.12,0.2183,2026-05-06
PR004826,2026/02/27,MANDI_008,Moga,Mustard,5305.6683659374585,5842.61,5574.14,0.565,2026-02-27
PR003124,04.07.2026,MANDI_002,Patiala,Cotton,,7576.15,6928.32,6620.0,2026-04-07
PR007308,15.06.2026,MANDI_048,Jalandhar,Cotton,,7817.45,7115.99,,2026-06-15
PR011358,03/03/2026,MANDI_027,Hisar,Wheat,1957.21,2120.7088850785995,,0.2275,2026-03-03
PR002849,19/02/2026,MANDI_043,Jalandhar,Wheat,2108.38,2303.0,2205.49,,2026-02-19
PR000278,02/04/2026,MANDI_002,,Maize,2028.0,0.242,2224.0,2090.0,2026-02-04
PR010767,2026-01-26,MANDI_049,Patiala,Cotton,,7109.091862971616,6642.73,,2026-01-26
PR009416,05.06.2026,,,Rice,1918.74,2304.0,0.2111,2183.0,2026-05-06
PR006769,2026-08-02,,,Wheat,,2342.22,2195.0,2275.0,2026-08-02
PR005062,2026/08/29,MANDI_057,Ferozepur,Sugarcane,3331.999425085686,3987.3206060919074,,,2026-08-29
PR006581,2026/06/17,MANDI_012,Kurukshetra,Mustard,5447.43517291978,6539.0,,5650.0,2026-06-17
PR003411,25-Jul-2026,MANDI_050,Bathinda,Mustard,,,6244.0,,2026-07-25
PR001183,28-Jun-2026,MANDI_051,,Wheat,2311.342582562423,2580.92,,2275.0,2026-06-28
PR003889,2026-05-29,,Sirsa,Cotton,0.6089,6442.05,6265.64,,2026-05-29
PR006057,28/03/2026,,Ludhiana,Rice,,2238.5,0.2104,0.2183,2026-03-28
PR010183,2026/01/13,MANDI_023,Kurukshetra,Maize,0.1863,,,0.209,2026-01-13
PR000371,07-Aug-2026,MANDI_018,Fatehabad,Mustard,5054.0,,5320.06,5650.0,2026-08-07
PR006590,24-May-2026,MANDI_035,Patiala,Wheat,2350.41,0.2731,2540.73,2275.0,2026-05-24
PR010318,2026-02-15,MANDI_014,Amritsar,Sugarcane,0.3264,3445.4932241573993,0.3355,0.35,2026-02-15
PR000090,2026-06-26,MANDI_040,Ambala,Maize,1881.8691227385789,,2003.89,,2026-06-26
PR004915,29.03.2026,,Moga,Wheat,0.2155,,2340.1,0.2275,2026-03-29
PR009953,22/04/2026,MANDI_028,Ambala,Rice,1901.88,2078.12,1990.0,2183.0,2026-04-22
PR010106,02/01/2026,MANDI_042,Bathinda,Cotton,6136.0,6538.69,6337.33,,2026-02-01
PR000014,08-Feb-2026,MANDI_028,Hisar,Wheat,2100.07,2375.64,2238.0,,2026-02-08
PR000287,2026/04/13,MANDI_031,,Wheat,2103.01,2276.59,,2275.0,2026-04-13
PR004723,12/04/2026,MANDI_020,Kurukshetra,Wheat,0.196,2441.0,2200.7,2275.0,2026-12-04
PR000290,2026/08/07,MANDI_024,Bathinda,Sugarcane,3589.02,3950.83341499987,3769.93,3500.0,2026-08-07
PR000885,26-Apr-2026,MANDI_016,Kurukshetra,Mustard,4928.43761867252,5446.76,0.5188,5650.0,2026-04-26
PR006785,2026-07-31,MANDI_025,Karnal,Rice,0.2112,2555.56,0.2334,2183.0,2026-07-31
PR011132,2026-03-30,MANDI_020,Sirsa,Sugarcane,3250.83,3969.99,0.361,3500.0,2026-03-30
PR000072,06/01/2026,MANDI_047,Amritsar,Wheat,2020.69,,2160.48,2275.0,2026-06-01
PR008759,10/04/2026,MANDI_042,Moga,Rice,,2381.0,2148.0,2183.0,2026-10-04
PR002705,2026-06-11,,,Mustard,,5692.39,,,2026-06-11
PR011585,2026-01-28,MANDI_016,Jalandhar,Sugarcane,3395.0,3710.84,3552.76,,2026-01-28
PR001860,2026/04/18,,Sirsa,Sugarcane,3233.75,3496.33,0.3365,,2026-04-18
PR001126,2026/03/20,MANDI_003,Amritsar,Rice,1889.99,2165.52,,2183.0,2026-03-20
PR001877,04-28-2026,MANDI_038,Ludhiana,Cotton,6070.34,0.6646,6357.95,,2026-04-28
PR004804,08-10-2026,MANDI_015,Fatehabad,Sugarcane,0.3036,3480.16,,3500.0,2026-08-10
PR005224,2026-08-06,MANDI_019,Ludhiana,Cotton,5856.97,6404.1,6130.53,0.662,2026-08-06
PR011327,07-20-2026,MANDI_020,Hisar,Mustard,0.5578,6771.16,6175.0,5650.0,2026-07-20
PR003657,07/06/2026,MANDI_049,Moga,Mustard,5526.458101463893,6776.9,6151.677939662541,5650.0,2026-07-06
PR004286,2026-02-13,MANDI_020,Sirsa,Mustard,,5232.752108331381,5036.0,0.565,2026-02-13
PR009464,05-12-2026,MANDI_054,Sirsa,Mustard,,6269.21,5795.0,5650.0,2026-05-12
PR009540,08-17-2026,MANDI_036,Ferozepur,Rice,2140.35,2314.92,,2183.0,2026-08-17
PR008741,2026-05-28,,Hisar,Mustard,5551.23,6183.12,5867.18,5650.0,2026-05-28
PR006103,06-11-2026,MANDI_032,Fatehabad,Mustard,4861.23,5327.596778987246,5094.0,5650.0,2026-06-11
PR004446,2026-04-01,MANDI_012,Jalandhar,Wheat,2054.38,2163.73,,2275.0,2026-04-01
PR008501,2026-06-21,MANDI_047,Ambala,Maize,2055.01,2496.0,,0.209,2026-06-21
PR009136,2026/08/31,MANDI_005,Hisar,Mustard,5172.652159477422,0.563,5401.09,5650.0,2026-08-31
PR006128,22/08/2026,MANDI_029,Bathinda,Sugarcane,3586.69,4146.78,0.3867,3500.0,2026-08-22
PR003726,2026/03/16,MANDI_047,,Wheat,,2382.0,2300.9,0.2275,2026-03-16
PR004026,13-Apr-2026,MANDI_002,Amritsar,Maize,,,2274.41,2090.0,2026-04-13
PR006940,15.07.2026,,Sirsa,Wheat,2027.0,2491.3,2259.35,,2026-07-15
PR005645,05.03.2026,MANDI_033,Bathinda,Sugarcane,3040.1534854977804,,3325.0,,2026-05-03
PR000750,2026-03-08,MANDI_040,Ambala,Wheat,,2565.59,2390.0,2275.0,2026-03-08
PR010477,2026-03-08,MANDI_013,Moga,Mustard,4997.0,,5469.33,,2026-03-08
PR000039,15.07.2026,,,Maize,1962.5739438804824,2442.29,2202.4319069968533,0.209,2026-07-15
PR011063,09.05.2026,MANDI_027,,Sugarcane,3640.7,0.3951,0.3796,3500.0,2026-09-05
PR011564,2026-04-28,MANDI_053,Patiala,Sugarcane,3045.97,3222.0,,,2026-04-28
PR007008,08.04.2026,MANDI_049,Fatehabad,Sugarcane,3369.49,4021.331053658642,3695.41,3500.0,2026-08-04
PR003175,2026-04-14,,,Wheat,2064.0,2298.0486185914897,2180.934103947472,,2026-04-14
PR006920,2026-04-27,MANDI_054,,Rice,2220.0,2582.38,2400.95,,2026-04-27
PR004602,2026/01/03,MANDI_002,,Mustard,5771.242300224399,6931.516916716651,6351.38,0.565,2026-01-03
PR002404,27/05/2026,MANDI_035,Patiala,Wheat,2377.0,2583.0,2479.89,,2026-05-27
PR003530,03-13-2026,MANDI_050,Sirsa,Maize,1916.33,0.2164,2040.26,,2026-03-13
PR000052,14.06.2026,MANDI_039,Hisar,Rice,1893.66,0.2329,2111.0,2183.0,2026-06-14
PR004884,2026/05/11,MANDI_029,Ambala,Mustard,4883.77,5935.74,5409.76,0.565,2026-05-11
PR004396,20-Mar-2026,MANDI_039,Jalandhar,Wheat,2316.1367012365836,0.2639,2477.74,,2026-03-20
PR005356,25.03.2026,MANDI_029,Sirsa,Mustard,5367.63,6494.201218716404,0.5931,5650.0,2026-03-25
PR008385,03-05-2026,MANDI_007,Fatehabad,Cotton,0.6143,6676.52,6409.956297337709,,2026-03-05
PR001049,28.02.2026,MANDI_018,Moga,Sugarcane,3544.39,,3924.83,0.35,2026-02-28
PR001227,2026/05/28,MANDI_049,Ludhiana,Rice,0.2223,2360.0,,2183.0,2026-05-28
PR002021,02-15-2026,MANDI_053,Kurukshetra,Sugarcane,2975.02,3540.228356606027,3257.62,3500.0,2026-02-15
PR002840,08/07/2026,MANDI_055,Jalandhar,Rice,1909.34,2007.0,1958.1,,2026-08-07
PR001582,09/07/2026,MANDI_020,Ambala,Mustard,,6323.0,6051.36,0.565,2026-09-07
PR007108,13.08.2026,MANDI_037,,Sugarcane,0.3272,,3386.98,3500.0,2026-08-13
PR002341,2026/01/12,MANDI_053,Karnal,Wheat,2267.0,,2455.58,2275.0,2026-01-12
PR005608,2026/02/06,,Bathinda,Sugarcane,3229.0,,3473.0,3500.0,2026-02-06
PR001136,2026-04-18,MANDI_038,Ferozepur,Rice,2102.32,2442.07,2272.196527136316,2183.0,2026-04-18
PR009689,02.09.2026,MANDI_048,Karnal,Wheat,0.2164,2591.0,,2275.0,2026-02-09
PR002408,2026-02-22,MANDI_047,Ambala,Rice,,2509.35,,,2026-02-22
PR004924,13-Mar-2026,MANDI_054,Bathinda,Wheat,,2411.0,2322.27,2275.0,2026-03-13
PR003193,30-Mar-2026,MANDI_010,,Cotton,6317.87239055306,6975.84,6646.85,,2026-03-30
PR005567,2026-01-07,MANDI_026,Ferozepur,Cotton,5830.38,0.6868,6349.04,,2026-01-07
PR002815,2026-08-19,MANDI_030,,Mustard,,6606.69,6005.3,,2026-08-19
PR000950,20.08.2026,MANDI_032,Patiala,Mustard,5880.31,6824.33,,5650.0,2026-08-20
PR004751,2026-02-17,MANDI_028,Ambala,Mustard,4874.0,5365.0,5119.29,5650.0,2026-02-17
PR008389,07-08-2026,MANDI_024,Amritsar,Sugarcane,3647.18,3970.64,,3500.0,2026-07-08
PR008760,05/07/2026,MANDI_001,,Rice,1878.64,0.2162,2020.53,,2026-05-07
PR011074,29/07/2026,MANDI_020,Fatehabad,Maize,2194.053527943877,2537.0,2365.44,2090.0,2026-07-29
PR005674,15.04.2026,MANDI_008,Moga,Maize,1979.96,,2097.3,2090.0,2026-04-15
PR005008,2026-01-31,MANDI_018,Amritsar,Wheat,2010.881479567271,2355.0,2183.0,,2026-01-31
PR011356,18/03/2026,MANDI_043,Hisar,Maize,1954.52,0.2366,2160.21,2090.0,2026-03-18
PR002972,09/01/2026,MANDI_022,Moga,Mustard,,,0.5639,5650.0,2026-09-01
PR010128,2026-08-12,MANDI_028,Jalandhar,Sugarcane,3371.0,,3705.46,,2026-08-12
PR011087,2026-05-18,MANDI_007,Hisar,Cotton,6778.52,,,,2026-05-18
PR004868,2026-05-02,,Ludhiana,Mustard,0.5002,6193.71,5598.01,5650.0,2026-05-02
PR008792,02-08-2026,MANDI_054,Karnal,Wheat,2009.0,2222.62,0.2116,,2026-02-08
PR007739,31/01/2026,MANDI_014,Bathinda,Rice,,2361.8612565831104,2127.9743581320763,0.2183,2026-01-31
PR002430,16/05/2026,MANDI_012,Amritsar,Cotton,6174.08,7548.55,6861.32,6620.0,2026-05-16
PR004051,2026/01/31,MANDI_028,Ambala,Sugarcane,2980.0,3691.46,3336.0,,2026-01-31
PR003668,06-Apr-2026,MANDI_046,Ferozepur,Wheat,2355.04,2804.03,2579.5355788650804,2275.0,2026-04-06
PR004727,21-Aug-2026,MANDI_055,Kurukshetra,Cotton,6876.26,8157.95,7517.11,0.662,2026-08-21
PR005138,12.07.2026,MANDI_029,Ludhiana,Maize,0.2096,2223.71,2159.61,,2026-12-07
PR007759,12.08.2026,MANDI_047,Ferozepur,Cotton,6556.98,,7121.0,6620.0,2026-12-08
PR011285,03-21-2026,MANDI_014,Amritsar,Rice,2080.71,2557.56,2319.13368564531,,2026-03-21
PR001781,2026-01-29,,,Sugarcane,3328.0,,3495.26,3500.0,2026-01-29
PR004208,01-Mar-2026,MANDI_055,Fatehabad,Sugarcane,,3885.0,,,2026-03-01
PR009564,06/02/2026,,Sirsa,Rice,,2096.52,2007.21,2183.0,2026-06-02
PR006507,2026-07-03,MANDI_026,Bathinda,Mustard,0.5898,7095.58,6497.0,5650.0,2026-07-03
PR000400,2026-05-14,MANDI_013,Ambala,Cotton,6276.11,7009.0,0.6642,6620.0,2026-05-14
PR007293,2026/04/07,MANDI_020,Bathinda,Wheat,,2422.25,2352.52,2275.0,2026-04-07
PR008867,01-05-2026,MANDI_044,Moga,Wheat,2385.9,,,2275.0,2026-01-05
PR001310,19/04/2026,MANDI_010,Amritsar,Wheat,2150.5,,2241.53,2275.0,2026-04-19
PR005490,2026/03/16,MANDI_017,,Wheat,0.2142,2563.0,2353.0,,2026-03-16
PR011563,2026/03/03,MANDI_053,Bathinda,Wheat,2255.15,2482.51,2368.828527057596,2275.0,2026-03-03
PR010339,25.04.2026,MANDI_041,Ambala,Mustard,0.4885,5930.06,5407.37,5650.0,2026-04-25
PR008342,2026/05/08,MANDI_008,Karnal,Sugarcane,,4060.635122435789,3742.75,3500.0,2026-05-08
PR009868,23.03.2026,MANDI_014,,Wheat,1973.64,,,2275.0,2026-03-23
PR006715,15/05/2026,MANDI_005,Ambala,Maize,2009.38,,2254.47,2090.0,2026-05-15
PR007779,2026-04-15,MANDI_014,Karnal,Mustard,5290.63,5646.15,5468.39,0.565,2026-04-15
PR003626,17.01.2026,MANDI_013,Kurukshetra,Cotton,6807.99,7556.0,7182.0,0.662,2026-01-17
PR006541,24-Mar-2026,MANDI_022,Hisar,Rice,1872.0,2118.32,1995.3074203373908,2183.0,2026-03-24
PR005794,2026-01-18,MANDI_032,Amritsar,Maize,2042.8075738151144,2420.66,2231.7320808322575,,2026-01-18
PR000124,01/08/2026,MANDI_013,Ferozepur,Mustard,5392.49,0.5765,5578.81,,2026-01-08
PR004975,03.07.2026,MANDI_025,Amritsar,Maize,1951.41,2198.6199062458213,2075.01,2090.0,2026-03-07
PR011583,14/08/2026,MANDI_012,,Cotton,6753.832063085397,7183.44,6968.63,,2026-08-14
PR003101,2026-06-29,MANDI_029,Ludhiana,Mustard,5644.0,6425.27,6034.44,5650.0,2026-06-29
PR009221,2026/04/04,MANDI_025,Ambala,Mustard,5844.54,7254.0,6549.27,5650.0,2026-04-04
PR011436,2026/05/21,MANDI_055,Bathinda,Rice,2243.12,2794.25,,2183.0,2026-05-21
PR002379,2026-04-27,,Amritsar,Rice,,,2296.8,0.2183,2026-04-27
PR003169,03/02/2026,MANDI_020,Bathinda,Mustard,5046.04,,0.5462,,2026-03-02
PR005876,24/03/2026,MANDI_029,Amritsar,Cotton,6772.72,7394.03,7083.374191616854,,2026-03-24
PR002172,14.06.2026,MANDI_034,Ludhiana,Wheat,2200.0,,2286.16,0.2275,2026-06-14
PR004436,2026-06-27,MANDI_038,Sirsa,Cotton,,8129.47,7521.54,6620.0,2026-06-27
